system:index,area_km2,mean_elevation_m,year,.geo
1_0,33.44555307173014,5860.538481264526,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,137.81356967211315,5551.7918530197385,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,0.0,,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,60.37916531472059,5734.965537721099,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,220.54696066965013,5481.652492703837,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,97.06147508779158,5689.63822958321,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,123.68245214825868,5580.80832377629,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,147.7596800852344,5496.388189914013,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,141.14292236476322,5638.155992135478,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,177.2373338473455,5535.1749212360255,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,65.00664088106976,5773.850214366085,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,84.79821191737268,5702.716438001441,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,107.91362088410023,5667.589428625872,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,86.45251294175078,5720.464323028017,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,91.9345235540267,5696.03701820704,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,66.43826322483041,5808.0400742185,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,128.2895173883041,5620.387043241604,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,74.92065157093502,5785.725842813389,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,148.4422581095897,5598.757050575081,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,45.30027856233798,5817.376698033575,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,165.05795627265542,5616.551094570451,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9,92.32016773911592,5707.885824535809,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10,82.60510164155265,5670.4168473015,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
